year,language,location,latitude,longitude,last_speaker
1950,Bohemian Romani,"Czech Republic, Central Europe",39.78373,-100.445882,"after World War II, due to extermination of most of its speakers in Nazi concentration camps."
1950,Kaniet,"Manus Province, Papua New Guinea",-2.05133,146.985147,[74][136]
1950,Nganyaywana,Australia,-24.776109,134.755,
1950,Slovincian,"Pomerania, Poland",54.143148,17.905734,
1950,Tunica,"Louisiana, United States",30.870388,-92.007126,with the death of Sesostrie Youchigant[137]
1950,Ventureño,"California, United States",36.701463,-118.755997,
1950,Wariyangga,Australia,-24.776109,134.755,
1950,Warluwara,Australia,-24.776109,134.755,
1950,Yalarnnga,Australia,-24.776109,134.755,
1950,Yandruwandha,Australia,-24.776109,134.755,
1950,Antoniano,United States of America,39.78373,-100.445882,
1950,Basay,China,35.000074,104.999927,
1950,Culle,Peru,-6.86997,-75.045851,
1949,Kunza,"Atacama Desert, Chile/Peru",39.78373,-100.445882,
1947,Gafat,"along the Abbay River, Ethiopia",39.78373,-100.445882,[138]
1945,Chemakum,"Washington, United States",38.894955,-77.036646,
1943,Upper Umpqua,"Oregon, United States",43.97928,-120.737257,with the death of Wolverton Orton
1940,Chitimacha,"Louisiana, United States",30.870388,-92.007126,with the death of Delphine Ducloux[139]
1940,Pentlatch,"Vancouver Island, Canada",49.592949,-125.702557,[74] with the death of Joe Nimnim
1939,Miluk,"Oregon, United States",43.97928,-120.737257,with the death of Annie Miner Peterson[141]
1939,Northern Kalapuya,"Oregon, United States",43.97928,-120.737257,with the death of Annie Miner Peterson[141]
1939,Rumsen,"California, United States",36.701463,-118.755997,with the death of Isabel Meadows[140]
1937,Kitanemuk,"California, United States",36.701463,-118.755997,"with the deaths of Marcelino Rivera, Isabella Gonzales, and Refugia Duran"
1937,Yoncalla,"Oregon, United States",43.97928,-120.737257,with the death of Laura Blackery Albertson[142]
1936,Narungga,"South Australia, Australia",-30.534366,135.630121,[143]
1935,Biloxi,"Louisiana, United States",30.870388,-92.007126,with the death of Emma Jackson[146]
1935,Cayuse,"Oregon, United States",43.97928,-120.737257,
1935,Chimariko,"California, United States",36.701463,-118.755997,with the death of Sally Noble[144]
1935,Clackamas dialect of Upper Chinook,"Washington/Oregon, United States",45.560188,-123.058791,
1935,Kathlamet,"Washington/Oregon, United States",45.560188,-123.058791,with the death of Charles Cultee[115]
1935,Kitsai,"Oklahoma, United States",34.955082,-97.268406,with the death of Kai Kai[145]
1935,Lower Chinook,"Washington/Oregon, United States",45.560188,-123.058791,
1935,Mahican,"New York, United States",40.730599,-73.986581,
1934,Juaneño,"California, United States",36.701463,-118.755997,
1934,Puelche,Argentina,-35.112487,-65.241974,with the death of Trruúlmani
1934,Takelma,"Oregon, United States",43.97928,-120.737257,with the death of Frances Johnson[147]
1933,Gabrielino,"California, United States",36.701463,-118.755997,
1932,Tonkawa,"Oklahoma/Texas/New Mexico, United States",39.78373,-100.445882,
1931,Kaurna,South Australia,-30.534366,135.630121,"with the death of Ivaritji,[148] now being revived"
1930,Ajawa,"Bauchi State, Nigeria",39.78373,-100.445882,[149]
1930,Mattole,"California, United States",36.701463,-118.755997,
1930,Mutsun,"California, United States",36.701463,-118.755997,with the death of Ascencion Solorsano
1929,Bear River,"California, USA",36.701463,-118.755997,
1926,Subtiaba,Nicaragua,12.372493,-84.870031,
1925,Chochenyo,"California, United States",36.701463,-118.755997,
1925,Island Carib,"Lesser Antilles, Caribbean Sea",39.78373,-100.445882,
1922,Chagatai,Central Asia including Turkmenistan,39.78373,-100.445882,[150]
1920,Mochica,northwest Peru,-5.179684,-80.648886,
1920,Yupiltepeque,Guatemala,15.635609,-89.898809,[151]
1918,Pochutec,"Oaxaca, Mexico",17,-96.5,
1916,Yahi,"California, United States",36.701463,-118.755997,with the death of Ishi[152]
1915,Yamhill dialect of Northern Kalapuya,"Oregon, United States",43.97928,-120.737257,
1912,Tataviam,"California, United States",36.701463,-118.755997,with the death of Juan José Fustero
1910,Kwalhioqua,"Washington, United States",38.894955,-77.036646,
1909,Siraya,southwestern Taiwan,39.78373,-100.445882,[153]
1908,Mohegan-Pequot,"southern New England, United States",42.119584,-72.211702,with the death of Fidelia Fielding[154]
1905,Tasmanian,"Tasmania, Australia",-42.035067,146.636689,with the death of Fanny Cochrane Smith[155][156]
1902,Aka-Bea,"Andaman Islands, India",39.78373,-100.445882,
1902,Aka-Kede,"Andaman Islands, India",39.78373,-100.445882,
1902,Aka-Kol,"Andaman Islands, India",39.78373,-100.445882,
1902,Akar-Bale,"Andaman Islands, India",39.78373,-100.445882,
1902,Oko-Juwoi,"Andaman Islands, India",39.78373,-100.445882,
1900,Atakapa,"Louisiana/Texas, United States",33.748932,-102.199565,
1900,Chaná,Uruguay,-32.875555,-56.020152,
1900,Jersey Dutch,"New Jersey, United States",40.075738,-74.404162,
1900,Kazukuru,"New Georgia, Solomon Islands",-8.29615,157.677321,
1900,Kyakhta Russian–Chinese Pidgin,,,,
1900,Baga Kalem,Guinea,10.722623,-10.708359,
1900,Carabayo,Colombia,2.893078,-73.784507,
1899,Ahom,India,22.351115,78.667743,
1899,Classical Mandaic,Iran; Iraq,31.815037,45.621287,[157]
1899,Nawathinehena,"Oklahoma and Wyoming, United States[158]",39.78373,-100.445882,
1899,Waling,Nepal,28.108318,84.091679,[159]
1898,Dalmatian,Croatia; Montenegro,39.78373,-100.445882,with the death of Tuone Udaina[161] [162]
1898,Moriori,"Chatham Island, New Zealand",-43.980074,-176.383812,with the death of Hirawanu Tapu.[163]
1895,Tsetsaut,"British Columbia, Canada",55,-125,
1893,Awabakal,"Queensland, Australia",-21.918286,144.458889,
1890,Adai,"Louisiana, United States",30.870388,-92.007126,
1890,Istrian Albanian,Croatia,45.564344,17.011895,
1890,Mbara,Australia,-24.776109,134.755,[160]
1886,Comecrudo,"Mexico; Texas, United States",32.755483,-97.070896,
1886,Cotoname,"Mexico; Texas, United States",32.755483,-97.070896,
1884,Yaquina,"Oregon, United States",43.97928,-120.737257,
1880,Auregnais,"Alderney, United Kingdom",50.744955,-1.942308,
1877,Aruá,Brazil,-10.333333,-53.2,
1876,Bruny Island,"Tasmania, Australia",-42.035067,146.636689,with the death of Truganini
1871,Tutelo,"Virginia, United States",37.123225,-78.492772,with the death of Nikonha [165]
1870,Clatskanie,"Washington (state), United States",47.286835,-120.212614,
1870,Yola,"Wexford, Ireland",52.336767,-6.46014,[164]
1868,Andoquero,Colombia,2.893078,-73.784507,[166]
1864,Xakriabá,"Minas Gerais state, Brazil",39.78373,-100.445882,
1862,Caquetio,Aruba,12.501363,-69.961847,with the death of Nicolaas Pyclas[167]
1859,Andro,India,22.351115,78.667743,
1859,Chairel,India,22.351115,78.667743,
1858,Karankawa,"Texas, United States",31.816038,-99.512099,
1857,Woiwurrung,"Victoria, Australia",-36.59861,144.678005,
1855,Kott,"central Siberia, Russia",56.493719,84.948856,[111]
1855,Wampanoag,"Massachusetts, United States",42.378877,-72.032366,Nantucket Wampanoag disappeared with the death of Dorcas Honorable[168]
1854,Samaritan,"West Bank and the Gaza Strip, Palestinian territories",39.78373,-100.445882,[169]
1853,Nicoleño,"California, United States",36.701463,-118.755997,with the death of Juana Maria [170]
1850,Chorotega,Costa Rica; Nicaragua,12.147804,-86.238191,[174]
1850,Kemi Sami,"Lapland, Finland",67.69291,26.728204,[175]
1850,Matagalpa,Nicaragua,12.372493,-84.870031,
1850,Mediterranean Lingua Franca,Tunisia; Greece; Cyprus,39.78373,-100.445882,[173]
1850,Norn,"Northern Isles, United Kingdom",49.953687,-6.369806,with the death of Walter Sutherland [171][172]
1850,Ramaytush,"California, United States",36.701463,-118.755997,
1850,Shinnecock,"New York, United States",40.730599,-73.986581,
1850,Boro,"Ethiopia, Togo",9.51667,38.4,
1845,Mator,"Sayan Mountains, Russia",39.78373,-100.445882,
1845,Nanticoke,"Delaware and Maryland, United States",39.489765,-76.778348,with the death of Lydia Clark[176]
1842,Barngarla,southern Australia,-32.071287,115.975078,[177]
1840,Gulidjan,"Victoria, Australia",-36.59861,144.678005,
1837,Wathawurrung,"Victoria, Australia",-36.59861,144.678005,
1836,Esselen,"California, United States",36.701463,-118.755997,
1836,Nottoway,"Virginia, United States",37.123225,-78.492772,
1836,Pali,India; Myanmar,39.78373,-100.445882,[178]
1829,Beothuk,"Newfoundland, Canada",39.78373,-100.445882,with the death of Shanawdithit[179]
1828,Garza,Mexico,19.43253,-99.13321,
1828,Mamulique,"Nuevo León, Mexico",26.238436,-99.8873,
1821,Karkin,"California, United States",36.701463,-118.755997,
1820,Peerapper,"Tasmania, Australia",-42.035067,146.636689,
1815,Tambora,Sumbawa,-8.668044,117.314461,following the 1815 eruption of Mount Tambora[180]
1809,Nuennone,"Tasmania, Australia",-42.035067,146.636689,
1803,Bunwurrung,"Victoria, Australia",-36.59861,144.678005,
1800,Assan,"central Siberia, Russia",56.493719,84.948856,[111]
1800,Cochimí,"Baja California, Mexico",30.033892,-115.142511,
1800,Crimean Gothic,"Crimea, Russia",45.210612,34.417773,
1800,Pallanganmiddang,"Victoria, Australia",-36.59861,144.678005,
1800,Pumpokol,"central Siberia, Russia",56.493719,84.948856,[111]
1795,Powhatan,"eastern Virginia, United States",36.836169,-76.243157,
1792,Eora,"Queensland and New South Wales, Australia",-33.893068,151.184862,[182]
1792,Quiripi,"Connecticut/New York/New Jersey, United States",41.132758,-73.933666,[183]
1790,Esuma,southern Côte d'Ivoire,39.78373,-100.445882,[181]
1789,Gundungurra,"New South Wales, Australia",-31.875983,147.286949,[184]
1789,Ngunnawal,"New South Wales, Australia",-31.875983,147.286949,[184]
1789,Thurawal,"New South Wales, Australia",-31.875983,147.286949,[184]
1777,Cornish,"Cornwall, England",50.416667,-4.75,with the death of Dolly Pentreath [185]
1775,Abipón,Argentina,-35.112487,-65.241974,
1771,Weyto,Ethiopia,10.21167,38.65212,
1770,Cuman,north of Black Sea; Hungary,39.78373,-100.445882,with the death of István Varró
1763,Susquehannock,"Maryland/Virginia, United States",39.634887,-78.785013,
1760,"Galwegian dialect, Scottish Gaelic","Scotland, United Kingdom",56.786111,-4.114052,with the death of Margaret McMurray
1756,Polabian,"around the Elbe river, Poland/Germany",39.78373,-100.445882,[186]
1750,Chané,Argentina,-35.112487,-65.241974,a dialect of Terêna
1750,Chibcha,Colombia,2.893078,-73.784507,
1750,Coahuilteco,"Mexico; Texas, United States",32.755483,-97.070896,
1750,Etchemin,"Maine, United States",45.709097,-68.85902,
1750,Hilberno-Scottish Gaelic,"Ireland and Scotland, United Kingdom",59.981894,-1.326125,[187]
1750,Niuatoputapu,"Niuatoputapu Island, Tonga",-15.956004,-173.77872,[188]
1735,Arin,"central Siberia, Russia",56.493719,84.948856,[111]
1710,Apalachee,"Florida, United States",27.756767,-81.463983,
1710,Old Prussian,Poland,52.097718,19.025816,
1700,Cacán,northern Argentina; Chile,39.78373,-100.445882,
1700,Pidgen Delaware,"Delaware, United States",38.692045,-75.401331,[189]
1690,Sudovian,Lithuania,55.35,23.75,
1667,Old Kentish Sign Language,"Kent, England",51.224464,0.733422,[190]
1650,Coptic,Egypt,26.254049,29.267547,used as a liturgical language nowadays
1650,Curonian,Latvia,56.86669,24.599972,
1650,Jassic,Hungary,47.181759,19.506094,
1644,Narragansett,"New England, United States",40.334792,-79.926994,[191]
1635,Jurchen,"Manchuria, China",39.78373,-100.445882,[192]
1619,Carolina Algonquian,"North Carolina, United States",35.672964,-79.039292,[193]
1619,Lumbee,"North Carolina and Maryland, United States",39.78373,-100.445882,[193]
1590,Knaanic,Czech Republic; Poland,52.221835,21.020523,
1590,Laurentian,"Quebec/Ontario, Canada",43.670768,-79.373747,
1550,Guanche,"Canary Islands, Spain",28.530653,-15.746444,[194]
1550,Semigallian,Latvia; Lithuania,56.358948,23.627303,
1549,Taino,The Bahamas and Puerto Rico,18.413796,-66.082836,
1503,Tangut,northwestern China; southern Mongolia,39.78373,-100.445882,
1499,Mozarabic,Spain; Portugal,40.828412,-6.823335,[195]
1490,Greenlandic Norse,Greenland,77.619235,-42.812597,
1490,Selonian,Latvia; Lithuania,56.358948,23.627303,
1350,Galindian,northern Poland; Russia,39.78373,-100.445882,
1350,Zarphatic,northern France; west-central Germany,39.78373,-100.445882,
1300,Bulgar,"Volga and Danube, Europe; Central Asia",39.78373,-100.445882,
1300,Old Norse,"Nordic countries, England, Wales, Isle of Man, Normandy, Vinland, the Volga and places in-between",39.78373,-100.445882,during the Viking Age
1250,Pyu,central Myanmar,16.78051,94.731687,
1243,Khitan,Central Asia,37.491794,71.544126,with the death of Yelü Chucai[196]
1150,Khazar,northern Caucasus; Central Asia,39.78373,-100.445882,
1100,Cumbric,"England/Scotland, United Kingdom",39.78373,-100.445882,
1100,Jewish Babylonian Aramaic,Iraq,33.095579,44.174978,[197]
1050,Old Church Slavonic,Eastern Europe,47.06485,15.407779,still used as a liturgical language
1000,Alanic,"Pontic-Caspian steppe, Central Asia",39.78373,-100.445882,evolved into Ossetian
1000,Lombardic,central Europe; northern Italy,39.78373,-100.445882,
1000,Merya,"Yaroslavl Oblast, Russia",57.778198,39.00211,
1000,Muromian,"Vladimir Oblast, Russia",56.050334,40.656163,
1000,Samaritan Aramaic,"West Bank, Palestine; Israel",39.78373,-100.445882,now only used as liturgical language[199]
1000,Syriac,Turkey; Iraq; Syria,39.78373,-100.445882,still used as a literary secular language[198]
950,Pictish,"Scotland, United Kingdom",56.786111,-4.114052,
950,Sakan,"Xinjiang, China",41.5,85.5,
950,Zhang-Zhung,western Tibet (Central Asia),39.78373,-100.445882,
850,Frankish,France; Germany,39.78373,-100.445882,
850,Gothic,Spain; Portugal; Italy,39.78373,-100.445882,with the exception of Crimean Gothic
850,Sogdian,Uzbekistan; Tajikistan,39.78373,-100.445882,evolved partly into Yaghnobi
