year,location,languages
2014,United States,C#;Java;JavaScript;Objective-C;SQL
2014,United States,C#;Java;JavaScript;SQL
2014,United States,C++;JavaScript;PHP;Python;SQL
2014,United States,JavaScript;Ruby;SQL
2014,United States,C#;JavaScript;SQL
2014,Switzerland,C;Objective-C
2014,United Kingdom,JavaScript;SQL;Salesforce.com
2014,United States,C;C#;JavaScript;SQL
2014,United States,C#;JavaScript;SQL
2014,Canada,JavaScript;PHP;SQL
2014,United States,C#;JavaScript;SQL;jQuery
2014,United States,PHP;SQL;HTML; GML; CSS
2014,United States,Java;SQL
2014,United States,JavaScript;Python;SQL
2014,United States,C#;Java;JavaScript;SQL
2014,Canada,C;Objective-C;PHP;Python;SQL;bash
2014,United States,C#
2014,Canada,C++;C#;JavaScript;SQL
2014,United States,JavaScript;Node.js;Python
2014,India,JavaScript;Objective-C;PHP;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,C#;Java;JavaScript;SQL;VBA
2014,United States,C#;JavaScript;SQL
2014,Germany,C#;SQL
2014,United States,C#;JavaScript
2014,United States,C;C++;JavaScript;PHP;SQL
2014,United States,C#;Java;JavaScript;SQL
2014,United States,C++;C#
2014,United States,C#;Python
2014,Canada,C;Java;JavaScript;Objective-C;SQL
2014,Switzerland,C;C++;JavaScript;Python
2014,United States,C#;Java;JavaScript;PHP;Python
2014,United States,JavaScript;PHP
2014,Ireland,C;JavaScript;Node.js;CoffeeScript
2014,United States,C#;JavaScript;SQL
2014,India,C++;JavaScript;Node.js;Objective-C
2014,Italy,JavaScript;PHP
2014,United States,C++;C#;JavaScript;Python;SQL
2014,United States,C++;Java;Python
2014,United States,JavaScript;Node.js;Backbone.js
2014,India,JavaScript;PHP
2014,United States,C#;SQL
2014,Germany,C;C++;Java;Python
2014,United States,JavaScript;Ruby
2014,Portugal,C#;Java;SQL
2014,United States,C
2014,Germany,C++;Python
2014,United States,C#;JavaScript;SQL;vb
2014,United States,JavaScript;Node.js;PHP;Python;Ruby;SQL
2014,United States,C#
2014,United States,JavaScript;Python;Ruby;SQL;Perl
2014,India,C;C++;Java;JavaScript;PHP;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,C#;JavaScript;SQL;jQuery; ColdFusion
2014,Sweden,C;JavaScript;Python;SQL
2014,United States,Java;SQL;Groovy
2014,Canada,C;C++;Java;Python
2014,United States,JavaScript;Node.js
2014,Cyprus,C#;JavaScript;Ruby;SQL
2014,United States,JavaScript;PHP;Python;Ruby;SQL
2014,United States,C++;C#;Objective-C
2014,United States,Java;JavaScript;Node.js;Objective-C;SQL
2014,Netherlands,C;C++;C#;JavaScript;SQL
2014,United States,Java
2014,United Kingdom,C#;Java;SQL;Delphi
2014,United States,C#;JavaScript;SQL;ILE RPG
2014,Argentina,JavaScript;Node.js;Ruby
2014,United States,Java;Python;Ruby;SQL
2014,United States,Java;JavaScript;SQL
2014,Netherlands,C++;C#;JavaScript;PHP;SQL
2014,United States,SQL;VB.Net (nice snark on your part)
2014,Netherlands,C++;C#
2014,United States,JavaScript;Node.js;PHP;Python;SQL
2014,United States,C#;JavaScript;SQL
2014,India,C;C++;JavaScript;Python;Ruby
2014,United States,C;C++;Objective-C
2014,United States,C++;R
2014,United States,C#;SQL
2014,United States,Java;JavaScript;SQL
2014,United Kingdom,JavaScript;PHP;SQL
2014,United States,JavaScript;Node.js;Python
2014,Japan,JavaScript;PHP
2014,United States,C#;JavaScript;SQL
2014,Pakistan,Java;SQL
2014,United Kingdom,C#
2014,United States,C;C++;C#;Java;JavaScript;SQL
2014,United States,C#;JavaScript
2014,Palestine,SQL
2014,Germany,C;Java;PHP;Python;Ruby;SQL
2014,United States,JavaScript;Python;SQL
2014,China,Java;Python;SQL
2014,United States,C#;JavaScript;SQL
2014,Greece,C#;Java;JavaScript;Ruby;SQL
2014,United Kingdom,C++;Python
2014,Germany,C;Java;JavaScript;PHP;SQL
2014,Luxembourg,C;JavaScript;PHP
2014,United States,C#;JavaScript;SQL
2014,France,C;Python
2014,United States,Java;PHP;SQL
2014,India,PHP;SQL
2014,Germany,C;C++;Python
2014,Turkey,C;C++;Python;vhdl
2014,United States,Python
2014,Ireland,C#;JavaScript;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,C#;JavaScript;SQL;VB.NET
2014,Hungary,C#;JavaScript;SQL
2014,Romania,C++;C#;Java;JavaScript;PHP;SQL;Visual Basic
2014,United States,JavaScript;PHP;SQL
2014,United States,SQL;VB.Net; ActionScript 2.0; ActionScript 3.0
2014,United States,Java;JavaScript
2014,United States,C;PHP;SQL
2014,United Kingdom,Haskell
2014,Germany,C;C++;Java;JavaScript;PHP;SQL
2014,United States,JavaScript;Objective-C;VB.NET
2014,Spain,C;JavaScript;PHP;Python;SQL;Lua
2014,Germany,Java
2014,Ireland,Python
2014,South Africa,JavaScript;Python;Ruby
2014,Belgium,C#;JavaScript;Ruby
2014,Algeria,C#;JavaScript;SQL
2014,Russia,C++;C#;JavaScript;Python;SQL
2014,France,Java;JavaScript;SQL;LotusScript
2014,Tunisia,C#;JavaScript;PHP;SQL
2014,Germany,Java
2014,United States,JavaScript;Python
2014,Bangladesh,C#;Java;SQL
2014,Australia,C++;JavaScript;Python
2014,United States,C#;JavaScript
2014,France,C;C++;Java;Objective-C;Ruby
2014,Ukraine,C;C++;JavaScript;PHP;SQL
2014,United States,JavaScript;SQL;VB.NET
2014,United Kingdom,C;C++;JavaScript;PHP;SQL
2014,Switzerland,C++;Java;Objective-C
2014,United States,C#;VB6
2014,India,JavaScript;PHP;SQL
2014,United Kingdom,C#
2014,Dominican Republic,C++;C#;JavaScript;Node.js;SQL;Arduino
2014,Lithuania,Java;JavaScript
2014,Germany,JavaScript;Python
2014,Germany,C;C++;Java;Python;SQL;assembly
2014,Ukraine,C;C++;Python;Go; Redis; MongoDB
2014,Russia,Java;JavaScript;Node.js
2014,Canada,Java;JavaScript;SQL
2014,United States,C++;C#;JavaScript;Objective-C;SQL
2014,New Zealand,C;C++;JavaScript;Python
2014,Austria,C#;Java;SQL
2014,India,C#;Java;JavaScript;Node.js;SQL
2014,Canada,C#;SQL
2014,United Kingdom,SQL;VBA; Drupal
2014,Australia,C#;Java
2014,United Kingdom,JavaScript;Node.js;SQL
2014,United Kingdom,JavaScript;Node.js
2014,India,Java;Objective-C
2014,India,C#;SQL
2014,United States,C#;JavaScript;Node.js;SQL
2014,Bulgaria,C;Java;JavaScript
2014,Netherlands,Java;SQL
2014,United States,C;C++;C#;Lua; x86 ASM
2014,Israel,C#;Objective-C;SQL
2014,Netherlands,Objective-C
2014,Turkey,C++;JavaScript;PHP;Python;SQL
2014,United Kingdom,C#
2014,India,C;C++;C#;PHP;Python;SQL
2014,Sri Lanka,C#;JavaScript
2014,United Kingdom,C#;JavaScript;Node.js;Python;SQL
2014,United Kingdom,C#;JavaScript;SQL
2014,India,Java;JavaScript;Node.js
2014,India,Java;JavaScript;SQL
2014,India,C++;C#;Java
2014,Germany,C++;JavaScript;Python
2014,Hungary,C;C++;C#;Java;Python
2014,France,C++
2014,India,PHP;SQL
2014,India,Java;JavaScript;Node.js;SQL
2014,United States,C#
2014,India,C++;Java;JavaScript;Objective-C
2014,Israel,Java;JavaScript;SQL
2014,United Kingdom,C#;Java;Objective-C;Python;MongoDB
2014,Pakistan,C#;Java;JavaScript;Objective-C;SQL
2014,Turkey,C;SQL
2014,India,JavaScript;Ruby
2014,Russia,JavaScript;Node.js;lua
2014,India,C#;JavaScript;Node.js;SQL
2014,Netherlands,Java;JavaScript;PHP;Python;SQL
2014,India,C;C++;Java;PHP;Python;SQL
2014,Ukraine,C#;JavaScript;SQL
2014,Sri Lanka,C;C++;C#;Java;Python;SQL;Racket ; Octave
2014,India,C#;JavaScript;PHP;SQL
2014,India,C;C++;Java;JavaScript
2014,Switzerland,JavaScript;PHP
2014,Switzerland,Java;Assembly; VHDL
2014,Pakistan,C;C++;C#;JavaScript;Objective-C;PHP;SQL
2014,India,JavaScript;PHP;SQL
2014,Belgium,C#;JavaScript;html
2014,Spain,Node.js;Objective-C
2014,Germany,JavaScript;PHP;SQL;NOSQL
2014,Netherlands,Objective-C;Ruby
2014,India,C#
2014,Brazil,JavaScript;Python
2014,Germany,Java;JavaScript;Scala
2014,Armenia,C#;Wix; msbuild
2014,France,C;C++;Python;SQL
2014,Argentina,C;C++;Java;JavaScript;SQL
2014,Turkey,Java;JavaScript;Objective-C;PHP;SQL
2014,India,C;C++;Qt
2014,Netherlands,C++;C#;Java;JavaScript;SQL;VBScript
2014,India,Java;JavaScript;PHP;Python;SQL
2014,Thailand,C#;JavaScript
2014,India,C#;Java;JavaScript
2014,United Kingdom,C#;Java;SQL
2014,Australia,C++;JavaScript;Visual Basic 2008
2014,United Kingdom,JavaScript;Ruby;SQL;Rails
2014,Germany,C;C++;JavaScript;Node.js;Python;SQL
2014,Israel,C;C++;C#;Java;Bash script and Batch script
2014,India,C
2014,India,JavaScript;PHP;SQL
2014,Belarus,JavaScript;PHP;SQL
2014,United States,C++;Java;JavaScript
2014,Malaysia,Java;JavaScript;SQL
2014,Kazakhstan,C#;LotusScript
2014,Turkey,C#;JavaScript;SQL
2014,Spain,C#;JavaScript;SQL
2014,India,JavaScript;PHP
2014,China,JavaScript;Python;SQL
2014,India,C#;XAML
2014,India,C;C++;Java;JavaScript;PHP;Python;SQL
2014,Pakistan,C#;JavaScript;PHP;Backbone.js
2014,United States,C;Java;JavaScript;Objective-C;Python;SQL
2014,Russia,Java
2014,China,C;PHP;Python
2014,United States,C#;Java;JavaScript;Node.js;Objective-C;PHP;Python;Ruby;SQL
2014,United States,JavaScript;PHP
2014,India,C;Java
2014,United States,JavaScript;Node.js;Python;SQL
2014,Sri Lanka,C++;Java;JavaScript;PHP;Python;SQL
2014,Finland,C#;Java
2014,India,C;C++;Java;Objective-C;SQL
2014,United States,SQL;Perl
2014,China,C;C++;JavaScript;Node.js;Objective-C;PHP;Ruby
2014,India,C
2014,India,C++;Java;SQL;Android; SQLite
2014,India,JavaScript;PHP;Ruby;SQL
2014,India,C;C++;Java;JavaScript;Node.js;Python
2014,India,C;C++;C#;Java
2014,Vietnam,JavaScript;Python
2014,Switzerland,Java;JavaScript;PHP
2014,Australia,C#;SQL
2014,India,JavaScript;Node.js;Ruby
2014,Sri Lanka,PHP;SQL
2014,Pakistan,C#;Java
2014,India,Java;JavaScript;jquery
2014,Australia,C++;Python;MongoDB; R
2014,India,C;C++;Java;JavaScript;PHP;SQL;codeigninter
2014,United Kingdom,JavaScript;Python
2014,United States,C#;JavaScript;SQL
2014,United Kingdom,JavaScript;Node.js;PHP;SQL
2014,United States,PowerShell
2014,United States,JavaScript;Node.js;PHP;SQL
2014,India,C#;Java;SQL
2014,India,JavaScript;Node.js;PHP
2014,Ireland,C#;Java;PHP;SQL
2014,United States,C#;JavaScript;Ruby;SQL
2014,Canada,C++;JavaScript;PHP;SQL
2014,Iceland,C;C++;Python;SQL;Assembler (in disassembly)
2014,Russia,C++
2014,United States,C#;JavaScript
2014,India,Java
2014,India,Java;JavaScript;Node.js;Objective-C;PHP;Ruby;SQL
2014,United States,C++;C#;Java;JavaScript;Python;SQL
2014,Poland,Python;Haskell
2014,Australia,C;JavaScript;Objective-C;SQL;Perl
2014,United States,Java;JavaScript;Objective-C;PHP;Ruby;SQL
2014,United States,Node.js
2014,United States,Ruby;SQL;R
2014,Australia,PHP
2014,China,JavaScript
2014,United States,C;C++;Java;Go; Matlab; Accumulo
2014,India,Java
2014,United States,C#;SQL;Powershell
2014,United States,C#;JavaScript;SQL
2014,United States,C++;Java;JavaScript;Objective-C;PHP;Ruby;SQL
2014,United States,C;Java;JavaScript;Objective-C;Python;Groovy
2014,United States,Java;JavaScript;Python;Clojure
2014,Dominican Republic,C#;JavaScript;SQL;Coffeescript
2014,United States,Java
2014,United States,C;C++;Python;Matlab
2014,Vietnam,Java;JavaScript;PHP;Ruby;SQL
2014,Hong Kong,C++;JavaScript;Node.js;PHP
2014,New Zealand,C;Ruby;SQL;D
2014,United States,Java;SQL
2014,United States,C++;C#;Java;JavaScript;Node.js;SQL
2014,United States,C;C++;JavaScript;Python
2014,United States,JavaScript;PHP;SQL
2014,Canada,Java;SQL;Perl
2014,United States,JavaScript;Objective-C;Python;Ruby;SQL
2014,United States,R
2014,United States,Java;JavaScript;Ruby;SQL
2014,United States,C#;JavaScript;Node.js;SQL
2014,United States,JavaScript;Node.js;PHP;Python;SQL
2014,United States,C++;Java;JavaScript;Python
2014,United States,C;C++;PERL
2014,United States,Java;JavaScript;PHP;Python;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,Java;Python
2014,United States,JavaScript;PHP;Ruby;SQL
2014,United States,C#;JavaScript;PHP;SQL
2014,Portugal,C;Objective-C
2014,United Kingdom,SQL;Cobol
2014,United States,C#;SQL
2014,United States,Java;JavaScript;SQL;xslt; groovy
2014,United States,C;C++;Java;Python;Ruby
2014,United States,C++;Python
2014,United States,JavaScript;PHP;Ruby;SQL
2014,United States,C#;Objective-C;SQL
2014,United States,Ruby
2014,United States,C++;Java;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,C#;JavaScript
2014,United States,C;C++;JavaScript;PHP;Python;Ruby;SQL;x86 and ARM assembly
2014,United States,Java;JavaScript;SQL;vb.net
2014,Greece,C
2014,United States,C++;Java;JavaScript;PHP;Python;SQL
2014,United States,Java;JavaScript;Python
2014,Slovenia,C#;Java;JavaScript;PHP
2014,United Kingdom,C;JavaScript;PHP;Ruby;SQL;Scala
2014,Australia,JavaScript;Python;Ruby;VHDL; Verilog; Makefiles
2014,United States,JavaScript;PHP;SQL
2014,Venezuela,C#;JavaScript;Node.js;PHP;Python;SQL;Unity
2014,United States,Java;JavaScript;Python;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,JavaScript;Ruby;SQL
2014,United States,SQL;Perl
2014,Egypt,JavaScript;Python;Ruby
2014,United Kingdom,C++;C#;Java
2014,Spain,JavaScript;PHP;SQL
2014,United Kingdom,C;asm (arm; arm64)
2014,United States,JavaScript;Python
2014,United States,Java;SQL
2014,Germany,Java;JavaScript;SQL
2014,United States,Java;Objective-C
2014,Canada,Java
2014,United States,C#;JavaScript;Objective-C;Python;SQL
2014,United States,Java;JavaScript;PHP
2014,United Kingdom,C++;Java;JavaScript;Python;SQL
2014,United States,C++;C#;Java;JavaScript;SQL
2014,Netherlands,C#;SQL;vb.net
2014,Bolivia,PHP;Python;MySQL
2014,United States,SQL;SAS; Stata
2014,Denmark,C#;Java;JavaScript;Node.js;PHP;SQL
2014,United States,C#;JavaScript;SQL
2014,Slovenia,C#
2014,Germany,JavaScript;PHP;SQL
2014,United States,Python;Ruby;shell
2014,United States,C;Java;JavaScript
2014,Poland,C;C++
2014,United States,C#;JavaScript
2014,Australia,C#;SQL
2014,Germany,C#;Java
2014,Germany,Java;Groovy; PL/I
2014,United Kingdom,JavaScript;PHP;SQL
2014,France,C#;Java;JavaScript;PHP;SQL
2014,United States,C++;Python;Ruby;R
2014,United Kingdom,Python;Ruby;SQL
2014,Canada,JavaScript;PHP;Python;SQL
2014,United States,Java;JavaScript;Node.js;Python;Ruby;SQL
2014,Switzerland,Java;JavaScript;Objective-C;PHP;SQL
2014,France,Java;JavaScript;OCaml
2014,United States,C++;JavaScript;PHP;Python;Stata
2014,United States,C#;Java;JavaScript;PHP;SQL
2014,Sweden,C#;Java;JavaScript;Node.js
2014,United Kingdom,SQL;SSRS
2014,United States,Java
2014,United States,C#;JavaScript;SQL
2014,Turkey,C
2014,United States,C#;JavaScript;SQL
2014,United States,C;C++;Java;JavaScript;Ruby
2014,United States,JavaScript;Node.js;SQL;Coldfusion
2014,Turkey,C++;Python
2014,United States,C#;JavaScript;SQL
2014,United States,Java;SQL
2014,Spain,C#;JavaScript;Node.js
2014,United States,C;C++;C#;Java
2014,United States,JavaScript;Ruby
2014,United States,JavaScript;Ruby;SQL
2014,Germany,C;Objective-C;Erlang
2014,United States,Java;vb.net
2014,Russia,JavaScript;PHP;Ruby
2014,United Kingdom,C++;Python
2014,United States,C#;JavaScript;Node.js;PHP;SQL
2014,Belgium,JavaScript
2014,United States,C;Java;SQL
2014,France,C#;JavaScript;PHP;SQL
2014,United States,Java;JavaScript;SQL;Groovy; Bash
2014,Denmark,Python;R
2014,Canada,C#;JavaScript;SQL
2014,United States,Objective-C
2014,United States,Python;R; Matlab
2014,United States,Java;JavaScript;PHP;Ruby;SQL;PERL; BASH
2014,United States,Java;JavaScript;SQL
2014,United States,Python;VBA
2014,United States,C++;C#;Python
2014,United States,C#;JavaScript;SQL;HTML; CSS
2014,United States,C#;JavaScript;SQL
2014,United States,C#;JavaScript;PHP;SQL
2014,United States,C#;JavaScript;SQL
2014,United States,C;C#;Java
2014,Germany,Java;JavaScript
2014,United States,C#;JavaScript;SQL
2014,Greece,C;JavaScript;PHP;Python;Ruby;SQL
2014,Russia,C++;Java;JavaScript;Node.js;PHP;Ruby
2014,United States,C#;SQL
2014,Germany,Java;JavaScript;PHP;SQL
2014,United States,SQL
2014,Israel,C#;SQL
2014,United States,C#;Java;JavaScript
2014,Germany,Java;JavaScript;PHP;Python;SQL
2014,United Kingdom,C#;SQL
2014,United States,C++;Java;JavaScript;PHP;Python;SQL
2014,Switzerland,C;JavaScript;Python
2014,Canada,C#;JavaScript;PHP;SQL
2014,Norway,C++
2014,United States,C#;JavaScript
2014,United Kingdom,C++;C#;Java;JavaScript;PHP;SQL
2014,Canada,C#;JavaScript;Objective-C;PHP;SQL
2014,Netherlands,C#;JavaScript;PHP;Haskell
2014,United States,C#;SQL;Powershell
2014,Uruguay,C#;Java;Groovy
2014,United States,VBA; Visual Basic (Classic; not .NET)  Old guy. ;-)
2014,United States,JavaScript;PHP;SQL
2014,United States,Java;Python;SQL
2014,Spain,C;C#;JavaScript;PHP;SQL;VB.NET; VBA
2014,Switzerland,C;Java;PHP;SQL;Scala
2014,Portugal,C;C++;Java;PHP;SQL
2014,United States,Java
2014,United States,C#;JavaScript;SQL
2014,United States,C#;SQL
2014,United States,C;C++;Java;JavaScript;Python;SQL
2014,India,C++;SQL;mysql
2014,Russia,Ruby;SQL;erlang; xml; sh
2014,United States,kdb+
