What Country or Region do you live in?,Which US State or Territory do you live in?,Which languages are you proficient in?,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
Middle East,,,JavaScript,,PHP,,,,SQL,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,,,,,SQL,C#,,,,,,
North America (Other),,,,CSS,PHP,,,Ruby,,C#,C++,,,,,
Germany,,Java,,,,Python,,Ruby,SQL,,C++,C,,,,
Germany,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Germany,,Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,
India,,Java,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,
Germany,,Java,,,,,,,SQL,,C++,,,,,
Germany,,,,,,,,,,,,C,,,,ASCET
India,,Java,JavaScript,CSS,,,Objective-C,,SQL,,C++,C,,HTML5,,
Canada,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,SQL,C#,C++,,,,,
India,,,JavaScript,CSS,PHP,,,,,,,,,,,
United States of America,Florida,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Middle East,,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,
Other Europe,,Java,,,,,,,SQL,C#,,,,,,
Russia,,,,,,,,,,C#,C++,,,,,
Other Asia,,Java,JavaScript,CSS,PHP,,,,,,,C,,HTML5,,
Other Europe,,Java,JavaScript,,,,,,SQL,,C++,C,,HTML5,,clojure
Africa,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,
India,,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,HTML5,,
United Kingdom,,,,,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,,,HTML5,,
Netherlands,,,,,,,,,SQL,C#,C++,C,,,,Brainfuck
Other Asia,,Java,,,,,Objective-C,,,C#,C++,,,,,
United Kingdom,,,,,,,Objective-C,,,C#,,,,,,
United Kingdom,,Java,,,,,,,,C#,,,,,,vb6
Italy,,,,,,,,,SQL,C#,,,,,,
United Kingdom,,,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,
India,,Java,,,,,,,SQL,,C++,C,,,,
United States of America,Illinois,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Other Europe,,Java,,,,,Objective-C,,SQL,,,,,,,
Other Europe,,Java,JavaScript,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Other Europe,,Java,,,,,,,,,,,Perl,,,
India,,,,,,,,,,,,C,,,,
Netherlands,,,,,,Python,Objective-C,,SQL,C#,C++,C,,,,
India,,Java,,,,,,,,,,,,,,Groovy
France,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,VB.NET
United States of America,New Jersey,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,
India,,,JavaScript,,,,,Ruby,SQL,,,,,HTML5,,
India,,Java,JavaScript,CSS,PHP,,,,SQL,,C++,C,,,,
France,,,,,,,,,SQL,,C++,C,,,,
United Kingdom,,,,,,Python,,,SQL,,,C,Perl,,,
India,,Java,JavaScript,CSS,,,,,,,,,,HTML5,,
Germany,,,,,,,,,,,,,,,,
India,,Java,JavaScript,CSS,,,Objective-C,,,,,,,HTML5,,
Middle East,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
India,,Java,JavaScript,CSS,PHP,,,,,,C++,C,,,,VB.NET
Other Europe,,,JavaScript,,,Python,,,SQL,C#,,,,,,
India,,Java,,,,,,,,,,,,,,
India,,Java,,,,,,,SQL,,C++,C,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,,C#,,,,,,Delphi
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Russia,,Java,,,,,,,,,,C,,,,
Other Europe,,,,CSS,PHP,,,,,C#,,,,HTML5,,
Africa,,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,
Other Europe,,,,,,,,,,,,,,,,
India,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Netherlands,,,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,
India,,,,,,,,,,,C++,,,,,
Other Asia,,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,
India,,Java,JavaScript,,,,,,SQL,C#,,,,,,
India,,Java,,,,,Objective-C,,,,C++,C,,HTML5,,
India,,,,CSS,,,,,SQL,C#,,,,HTML5,,
Australasia,,,,,,,,,,,,,,,,
India,,Java,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,
India,,Java,JavaScript,CSS,,,,,SQL,,,C,,,,
India,,,,,,,,Ruby,SQL,C#,C++,,,,,
Other Asia,,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,C,,HTML5,,
India,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
India,,Java,JavaScript,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
Australia,,,JavaScript,CSS,,Python,Objective-C,,SQL,C#,C++,C,Perl,,,Asp.net
India,,,JavaScript,,,Python,,,SQL,,,,,HTML5,,jquery
Other Asia,,,,,,Python,,,,C#,C++,,,,,R
Other Asia,,,JavaScript,,PHP,,,,,,,,,HTML5,,
India,,,,,,,,,,,,,,,,
United States of America,Massachusetts,Java,,,,Python,Objective-C,,,C#,C++,C,,,,"Clojure, Matlab"
United Kingdom,,,JavaScript,,,,,,,,,,,,,
Australia,,Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,C#,,,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,C,,HTML5,,
Russia,,Java,,CSS,PHP,,,,SQL,,,,,HTML5,,
Canada,,Java,,,PHP,Python,,,SQL,,,C,,,,
United States of America,Florida,,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
Australia,,Java,,,PHP,Python,,,,,C++,,,,,
Australia,,,,,,Python,Objective-C,,,,,C,,,,
South America,,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Canada,,,,,,,,,SQL,C#,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
United States of America,Nevada,,,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Other Asia,,,,,,,Objective-C,,,,,,,,,
United States of America,Texas,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,,C,,,,BASIC
United States of America,Massachusetts,,,,,Python,,,SQL,C#,C++,C,,,,XSL
Other Europe,,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,
United States of America,Colorado,Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,,,HTML5,,
United States of America,Georgia,Java,JavaScript,,,,,,SQL,C#,,,,HTML5,,
United States of America,New Jersey,,,,,,,,,,,,,,,
Other Europe,,,,,PHP,,,,SQL,,,,,,,Bash
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
United States of America,California,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
United States of America,Wisconsin,,JavaScript,CSS,PHP,,Objective-C,,SQL,,,C,,HTML5,,
Other Europe,,,,,,,Objective-C,,,,,,,,,
United States of America,Rhode Island,Java,,,,,Objective-C,,,,,,,,,
United States of America,Arizona,,,,,,,,,,,,,,,"Learning PHP, C, C++, Java, and a few others.  So I can't say I'm proficient in any."
United Kingdom,,,JavaScript,CSS,,,,,SQL,,,,,,,Classic-ASP
United States of America,Washington,Java,,,,,,,,,,,,,,
Other Europe,,Java,,,,,,,,,,,,,,Haskell
United States of America,Arizona,,JavaScript,CSS,,,,,SQL,C#,C++,,,,,
South America,,Java,JavaScript,,PHP,Python,,,SQL,,C++,C,,,,
Russia,,Java,,,,,,,,,,,,,,
United Kingdom,,Java,JavaScript,,,,Objective-C,,,C#,C++,C,,HTML5,,
United States of America,Idaho,Java,,,,,,,SQL,C#,C++,C,Perl,,,
Canada,,,,,,,,,,,,,,,,
United States of America,Virginia,Java,JavaScript,CSS,,Python,,Ruby,SQL,C#,C++,,,,,
United States of America,Ohio,Java,JavaScript,CSS,,,Objective-C,Ruby,,C#,,,,HTML5,,
Italy,,,,,,,,,,,,,,,,
Other Europe,,Java,,,,,Objective-C,,,,C++,C,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,,,C,Perl,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,
United States of America,Colorado,,,CSS,PHP,,,,,,,,,HTML5,,
Canada,,Java,,,,,,,,C#,C++,C,,,,
Other Europe,,,JavaScript,,,,,,SQL,C#,,,,,,
France,,,,,,,,,,,,,,,,
United States of America,Massachusetts,,,,,,,,,,,,,,,Matlab
United States of America,Missouri,Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,HTML5,,
United States of America,Oregon,,,,,,,,,,,,,,,
United States of America,Texas,Java,JavaScript,,,,,,,,,,,HTML5,,
United Kingdom,,Java,JavaScript,CSS,,Python,,,SQL,,,C,,HTML5,,
South America,,Java,,,,,,,,,,,,,,
South America,,Java,JavaScript,CSS,,Python,Objective-C,Ruby,SQL,C#,,C,,,,Lua
Middle East,,Java,,,,,,,,,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,C,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,,Java,,,,Python,,,,,,C,,,,
Canada,,,JavaScript,,,,,,SQL,C#,,,,,,
United States of America,Pennsylvania,,,,,,,,SQL,C#,C++,,,,,
India,,Java,JavaScript,,,,,,SQL,,,,,,,
United States of America,Ohio,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Other Europe,,Java,,,,Python,Objective-C,,,,,,,,,
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
United Kingdom,,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
Other Europe,,,,,,,,,,,,,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,
South America,,,JavaScript,CSS,PHP,Python,,,SQL,,,,,,,
Other Asia,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,,Python,,,,,,,,HTML5,,
Germany,,Java,,,,,Objective-C,,,,C++,C,,,,
United States of America,Tennessee,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
South America,,,,,PHP,,,,SQL,,C++,C,,,,Delphi
South America,,,,,,,,,,,,,,,,
India,,Java,JavaScript,CSS,PHP,,,,,,,,,,,
India,,Java,,,,,,,,C#,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,,Perl,HTML5,,
India,,,,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,,,,,SQL,,,,,HTML5,,
France,,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,
United Kingdom,,,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,,,HTML5,,Mel
United States of America,California,,,,PHP,Python,,Ruby,SQL,C#,,,,,,
South America,,Java,,,,,,,,,,,,,,
India,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Other Europe,,,,,,,,,,,,,,,,
United States of America,Arizona,,,,,,,,,,C++,C,Perl,,,
Other Asia,,,,,PHP,,,,,,,,,HTML5,,
Middle East,,,,,,,,,,,,C,,,,
Germany,,,,,,,,,,,,,,,,
Other Asia,,Java,,,,,,,,,,,,,,
Germany,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Germany,,,JavaScript,CSS,,,,,,C#,,,,HTML5,,
Germany,,,,,,,,,,,,,,,,
South America,,,,,,Python,,,,,C++,C,,,,
Netherlands,,,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,C,,,,
Middle East,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,SQL,C#,C++,,,,,
France,,,,,,,,,,,,,,,,
India,,,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,,,,,SQL,,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,C++,C,,,,Lots
Australia,,Java,,,,,,,,C#,C++,,,,,
Netherlands,,,,,,,,,,,,,,,,
South America,,,,,,,,,,C#,,,,,,
Germany,,,,,,,,,,C#,,,,,,
Other Asia,,,JavaScript,CSS,PHP,,,,,,,,,,,
Germany,,Java,,,,,Objective-C,,,,,,,,,Smalltalk
Other Asia,,,,,,,,,,C#,,,,HTML5,,
Other Europe,,,,,,,,,,,,,,,,
South America,,Java,JavaScript,,,,,,SQL,,,C,,,,
Other Europe,,Java,,,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Italy,,,,,,,,Ruby,,C#,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,XSLT
Italy,,,,,PHP,,Objective-C,,,,,C,,,,
Germany,,,JavaScript,CSS,PHP,Python,,,,,,,,,,
India,,,JavaScript,CSS,,Python,,,SQL,,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,,SQL,,,,Perl,HTML5,,
United States of America,Missouri,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,JQuery
India,,,,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
India,,Java,JavaScript,,PHP,,,,SQL,C#,,C,,,,
Germany,,,,,,,,,,,,,,,,
United States of America,Texas,Java,,CSS,,,,,,,,,,HTML5,,
United Kingdom,,,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,
India,,,,,,,,,SQL,,,,,,,
India,,Java,JavaScript,,,,,,SQL,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,
India,,Java,,,,,,,,,,C,,,,Android SDK
Other Europe,,,,,,,Objective-C,,,,,,,,,
India,,,JavaScript,CSS,PHP,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,Perl,,,
India,,Java,JavaScript,CSS,,,Objective-C,,SQL,C#,C++,C,,HTML5,,
Other Asia,,,JavaScript,CSS,,Python,,,SQL,C#,,,,,,
Other Asia,,,,,,,,Ruby,,,,,,HTML5,,
Italy,,,,,,,,,,,,,,,,
Other Europe,,Java,,,,,,,SQL,,C++,C,,,,
India,,,JavaScript,CSS,,Python,,,SQL,,,,,HTML5,,
United States of America,California,,,,,Python,,,,,C++,C,,,,
United States of America,California,,JavaScript,CSS,,,Objective-C,Ruby,,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,,Objective-C,,,,,C,,,,
India,,,,,PHP,,Objective-C,,,,C++,C,,,,
United States of America,Oklahoma,Java,JavaScript,,,,,,,C#,C++,,,HTML5,,
India,,Java,,,,Python,,,,,C++,,,,,
Australia,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,SQL,C#,,,,,,
Canada,,,,,PHP,,Objective-C,,SQL,C#,,,,,,
Other Asia,,Java,,,PHP,Python,,,,,C++,C,Perl,,,"/bin/sh, lua, emacs lisp"
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
South America,,Java,JavaScript,CSS,PHP,Python,,,,,,,,HTML5,,
Africa,,,,,,,,,,,,,,,,
India,,Java,,,,,,,SQL,,,,,,,
South America,,,,,,,,,,,,,,,,
Other Asia,,Java,,,,Python,,,,C#,,,,,,
Canada,,,,,,,,,,,C++,,,,,
Germany,,Java,,,,,Objective-C,,,,C++,C,,,,
United States of America,California,,,,PHP,,,,SQL,,,,,HTML5,,Lisp
United States of America,Oklahoma,,,CSS,,,,,SQL,C#,,,,,,
Germany,,Java,,,,,,,,,C++,C,,,,
Other Asia,,Java,,,,,,,,,C++,,,,,Common Lisp
United Kingdom,,Java,JavaScript,CSS,,,,,SQL,C#,,C,,,,
United States of America,Alabama,Java,,,,,,,SQL,,C++,C,,,,
Netherlands,,,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,,,,HTML5,,"Coffescript, haml, sass, that sort of thing"
Australia,,,,,,,,,,,C++,C,,,,
Australia,,,,CSS,PHP,Python,,,,,,,,,,
France,,Java,JavaScript,CSS,,,Objective-C,,,,C++,C,,HTML5,,
United States of America,California,Java,,,,,Objective-C,,,,C++,C,Perl,,,
Germany,,Java,,,,,,,,,C++,C,,,,
Germany,,,,,,,,,,,,,,,,
United States of America,Pennsylvania,,JavaScript,,,,,,SQL,C#,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,C,Perl,HTML5,,
Russia,,Java,,,,,,,,,,,,,,
United States of America,Arkansas,,JavaScript,CSS,PHP,Python,,,SQL,,,,Perl,HTML5,,
Other Europe,,Java,,,,,,,,,,,,,,
Australasia,,,JavaScript,CSS,,Python,,,,,,,,,,
Canada,,Java,JavaScript,,PHP,,,,,,C++,,,,,Actionscript 1/2/3
Other Europe,,Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Canada,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Netherlands,,,,,PHP,,,,,C#,,,,,,
Other Europe,,,,,,,,,,,,,,,,
Netherlands,,,,,PHP,,Objective-C,,,,,,,,,ActionScript 3
United States of America,Iowa,,,,,Python,,,,C#,,,,,,DM
United States of America,Nevada,,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,,,HTML5,,VB
United States of America,Michigan,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
United States of America,Michigan,,,,,,,,,C#,C++,,,,,
Canada,,,,,,,,,,,C++,C,,,,
United Kingdom,,Java,,,,Python,,,SQL,,C++,C,,,,
Australia,,Java,,,,Python,,Ruby,SQL,C#,C++,C,,,,
Other Europe,,,JavaScript,,,,,,,,C++,,,,,
Germany,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,
Other Europe,,Java,,CSS,PHP,,,,SQL,,,,Perl,,,
Other Europe,,,JavaScript,CSS,,,,Ruby,SQL,,,,,HTML5,,
United States of America,New Mexico,Java,,,,,,,SQL,,,C,Perl,,,
United Kingdom,,,,,,,,,SQL,C#,,,,,,
Africa,,,,,,,,,,,,,,,,
Africa,,,,,,Python,,,,,C++,C,,HTML5,,
Other Europe,,Java,JavaScript,CSS,,,,Ruby,SQL,C#,,,,,,
Africa,,,,,,,,,,,,,,,,
Other Europe,,,,CSS,PHP,,,,SQL,,,,,,,
Other Europe,,,,,,,,,,,,,,,,
India,,Java,,,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
Australia,,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,C++,,Perl,HTML5,,
United States of America,Pennsylvania,Java,,CSS,PHP,,,,SQL,,C++,,,,,"D, Haskell, HTML 4"
India,,,JavaScript,CSS,PHP,,,,,,,C,,,,
United States of America,California,,JavaScript,CSS,,,Objective-C,Ruby,SQL,,,,,HTML5,,
United States of America,New York,Java,JavaScript,CSS,,Python,,Ruby,,,C++,C,,HTML5,,
United States of America,Oregon,,,,,Python,,,,C#,C++,C,,,,Haskell
Australia,,,,,,,,,,,,,,,,Lisp
United States of America,Missouri,,,,,,,,SQL,C#,,,,,,
United States of America,Illinois,,,CSS,PHP,,,,,C#,,,,,,
South America,,,,,,,,Ruby,,,,,,,,
United Kingdom,,Java,JavaScript,CSS,,,,,SQL,C#,,C,,,,fortran forth pl1 ada pascal delphi dbl dibol bliss z80 68000
Australasia,,,,,,,,,,,,,,,,
United States of America,Idaho,,,,PHP,,,,,,,C,,,,
Other Europe,,,JavaScript,CSS,,,,,,,,,,HTML5,,Mathematica
United States of America,Texas,Java,,CSS,PHP,,,,SQL,C#,,,,,,
Germany,,,,,,,,,,,,,,,,
Canada,,,JavaScript,,PHP,,,,,,,,,,,
United States of America,Wisconsin,,,,,,,,,,,,,,,
United States of America,California,,,CSS,PHP,,Objective-C,,,,,,,HTML5,,mysql
Canada,,Java,,,,,,,SQL,,,,,,,
United States of America,Ohio,Java,,,,,,,SQL,C#,,,,,,
United States of America,Illinois,,,,,,,,,,,,,,,
Canada,,Java,JavaScript,CSS,,,,,SQL,C#,C++,C,,HTML5,,
United States of America,California,,,CSS,PHP,,,,,,,C,Perl,HTML5,,
United States of America,Mississippi,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,
United Kingdom,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,,Objective-C,,SQL,,C++,C,,HTML5,,
Italy,,,,,,,,,,,,,,,,
United Kingdom,,,JavaScript,,PHP,,Objective-C,,SQL,,,,,HTML5,,
United States of America,Texas,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,
United States of America,Washington,,JavaScript,CSS,PHP,,,Ruby,SQL,C#,C++,C,,HTML5,,
Middle East,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Mexico,,Java,,CSS,,,,,SQL,C#,,,,HTML5,,
United States of America,Oregon,Java,,,,,Objective-C,,,,,C,,,,
United States of America,North Carolina,,,,,,,,,,C++,,,,,
Germany,,Java,,,PHP,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,,,,,,HTML5,,
India,,,,,,,,,,,,,,,,"COBOL, RPG-400"
Other Europe,,Java,JavaScript,CSS,PHP,,Objective-C,Ruby,SQL,C#,,,,HTML5,,
Germany,,Java,,CSS,,,,,,,C++,C,,,,
Italy,,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,,,,,HTML5,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,Ruby,,C#,C++,,,,,
Germany,,,,,,,,,,C#,,,,,,
Other Europe,,Java,JavaScript,,PHP,,,,,,,,Perl,,,
United States of America,Ohio,,JavaScript,CSS,,,Objective-C,Ruby,,,,C,,HTML5,,
Germany,,,,,,Python,,,,,C++,,,,,
Germany,,Java,JavaScript,CSS,,,,,SQL,,,,,,,
Africa,,,,,PHP,,,,SQL,,,,,,,
Other Europe,,,,,,,,Ruby,SQL,,C++,,,,,
United Kingdom,,,JavaScript,CSS,,,,,SQL,C#,,,,,,
Other Europe,,Java,,,,,,,,,,,,,,
Central America,,,,,,,,,,,,,,,,
Other Asia,,Java,JavaScript,CSS,,,,,,,,,Perl,,,
Other Europe,,Java,JavaScript,CSS,,,,,SQL,C#,C++,,,HTML5,,
Germany,,Java,,,,,,,SQL,,C++,,,,,
Canada,,Java,,CSS,PHP,Python,,,SQL,C#,,C,,HTML5,,
Russia,,Java,,CSS,,,,,,,,,,HTML5,,
India,,,,,,,Objective-C,,,,,,,,,
Australasia,,Java,,,PHP,,,,SQL,,,,,,,FourJs
United States of America,California,,JavaScript,CSS,,,,Ruby,,,,,,HTML5,,
Italy,,Java,,,,Python,,,,,,,,,,
Other Europe,,Java,JavaScript,CSS,,,Objective-C,,SQL,,,,,HTML5,,
Other Europe,,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,
India,,,,,,,,,,,,,,,,
Australasia,,,,,,,,,SQL,C#,C++,C,,,,
Italy,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,Perl,,,
Other Europe,,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,
Other Europe,,,,,,,,,SQL,C#,,,,,,Visual Studio 6.0
Russia,,,,,,,,,,C#,C++,,,,,
Middle East,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,Android
India,,Java,,,,,,,SQL,,C++,C,,,,
Other Europe,,,,,,,,,,C#,,,,,,pl/sql
India,,,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,,,,HTML5,,
India,,,,,,,,,SQL,C#,,,,,,
United States of America,Maryland,,,,,,,,,,,,,,,
United States of America,Colorado,,JavaScript,,,,,,,,,,,HTML5,,
United States of America,California,Java,,,,,,,,,,C,Perl,,,
South America,,,,CSS,PHP,,Objective-C,,SQL,,C++,,,,,
India,,Java,,,PHP,,,,,,,C,,,,
France,,,,,,,,,,,,,,,,Delphi
United States of America,Texas,Java,JavaScript,,,,,,SQL,,C++,,,,,VBA
