What Country or Region do you live in?,Which US State or Territory do you live in?,Which languages are you proficient in?,,,,,,,,,,,,
Middle East,,,,,,,,,C#,C++,,,,
Other Europe,,,,,,,,,,,,,,Objective-C
Australia,,Java,JavaScript,CSS,PHP,,,SQL,,,,Perl,,
United Kingdom,,,,CSS,,Python,,,,,,,,
Australia,,Java,JavaScript,CSS,,,,SQL,C#,,,,,
Netherlands,,,JavaScript,CSS,PHP,,,SQL,,,C,,,
Africa,,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,
Other Europe,,,JavaScript,CSS,,,,SQL,,,,,,VBA
Other Europe,,,JavaScript,,,,,SQL,C#,,,,,
Middle East,,,,,,,,SQL,C#,,,,,"VB.NET, WPF, Silverlight, Entity-Framework"
United States of America,Washington,Java,,,,,,,,,C,,,
India,,Java,JavaScript,CSS,PHP,,,SQL,,,,,,
United States of America,Oklahoma,,JavaScript,CSS,PHP,,Ruby,,C#,C++,C,,,
United States of America,California,,,,,Python,,,,,,,,
United States of America,California,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,
United States of America,Texas,,JavaScript,,,,,SQL,C#,,C,,,
United States of America,Washington DC,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
United Kingdom,,,,,,Python,,,,C++,C,,,
United States of America,Oregon,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,Java,,,,,,SQL,C#,C++,C,,,
United States of America,Iowa,Java,,,,,,,,,C,Perl,,Ada
United States of America,Indiana,,JavaScript,,,,,SQL,C#,,,,,
United States of America,Missouri,,JavaScript,CSS,PHP,Python,,SQL,,,,,,ASP Classic
United States of America,Colorado,,,CSS,PHP,,,SQL,,,,Perl,,
Canada,,,JavaScript,,,,,SQL,C#,,,,,
France,,,JavaScript,CSS,,Python,,,C#,C++,C,,,
United States of America,Maryland,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,
Other Europe,,,,,,Python,,,,C++,C,,,
United States of America,Arizona,Java,JavaScript,CSS,PHP,,,SQL,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
Canada,,,,,,,,SQL,C#,,,,,
Australia,,,,,,,,,,,,,,
United States of America,Washington,,JavaScript,CSS,PHP,,,SQL,,,,,,actionscript
United States of America,Texas,Java,,,,,,,,C++,C,Perl,,
United States of America,Massachusetts,Java,,,,,,SQL,,,C,,,
United States of America,Louisiana,,,,,,,,,C++,,,,Mathematica
Germany,,,,,,,,,,,C,,,Objective-C
United States of America,California,Java,,,,Python,,,,C++,,,,
United States of America,Pennsylvania,,,,,Python,,SQL,,C++,,,,vb.net
United States of America,Illinois,Java,,,,Python,,,C#,C++,,,,
United Kingdom,,,,,,,,,,,,,,
Germany,,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
Africa,,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,
Other Europe,,,JavaScript,CSS,,,,SQL,,,,,,CFML
Netherlands,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,coldfusion
France,,,JavaScript,,,,,,C#,,,,,
United States of America,Oklahoma,,,,,,,,,,,,,
United States of America,New Hampshire,Java,,,,,,SQL,C#,C++,C,,,
United Kingdom,,,JavaScript,CSS,,,,SQL,C#,,,,,
United Kingdom,,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,
Middle East,,,,,,,,SQL,,C++,C,Perl,,
Other Europe,,,,,,,,SQL,,,,,,R; VBA
Other Europe,,Java,,,,,,,,,,,,
Other Europe,,,,,,,,SQL,,,,,,Object Pascal
Africa,,,,,,,,,C#,,,,,"VB.NET, VB6, VBA"
United Kingdom,,,,,,,Ruby,SQL,C#,,,Perl,,
Africa,,,,,,,,,,,,,,
Other Europe,,,,CSS,,,,,,,,,,
United Kingdom,,Java,,,PHP,Python,,,C#,C++,C,,,
Germany,,,JavaScript,CSS,,Python,,,,,,Perl,,
United Kingdom,,,,,,,,,C#,,C,,,
Australia,,Java,,CSS,PHP,,,,,,,,,
Africa,,,,,,,,SQL,C#,,,,,
Netherlands,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
Other Europe,,,,,,,,,,,,,,
United States of America,California,Java,,,PHP,Python,,SQL,,C++,C,Perl,,
United States of America,Michigan,,,,PHP,,,SQL,,C++,C,,,
United States of America,California,,JavaScript,CSS,,,,SQL,C#,,,,,VB.NET
United States of America,Washington,,,,,,,,,,,,,
United States of America,Pennsylvania,,,CSS,PHP,,,SQL,,,,,,
United States of America,California,,,,,,,SQL,,,C,Perl,,
Russia,,,,,,Python,,,,C++,C,Perl,,Maple bash
United States of America,California,,JavaScript,,PHP,,,SQL,,,C,Perl,,
United States of America,Massachusetts,Java,,,,Python,,,,C++,C,,,
Italy,,,,,,,,,C#,C++,C,,,
Canada,,Java,JavaScript,,PHP,,,SQL,,C++,C,Perl,,
Other Asia,,Java,,,,,,,C#,,C,,,
United States of America,Ohio,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,
United States of America,Illinois,Java,,,,,,SQL,C#,,,,,
United States of America,Texas,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Nebraska,,JavaScript,,,,,SQL,C#,,,,,
United States of America,Ohio,Java,,,,,,SQL,C#,,,,,
United Kingdom,,,,,,,,,,,,,,
United States of America,Massachusetts,Java,,,,Python,,,,,,,,
Middle East,,,,,,,,,,C++,C,,,
Africa,,,,,,Python,,,,,,,,
Italy,,Java,JavaScript,,,Python,,,,C++,C,Perl,,
Other Europe,,Java,,,,,,,,C++,C,,,
Other Europe,,,,,,,,,,,,,,Visual Dataflex
United States of America,Illinois,Java,JavaScript,CSS,PHP,,,SQL,,,,,,
South America,,Java,JavaScript,,PHP,,,,,,C,,,
United Kingdom,,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,,,,
United States of America,Washington,,JavaScript,,PHP,,,SQL,C#,,,,,
Other Europe,,,,,,,,,,C++,,,,
United States of America,California,,,,,,,,,,,,,
United States of America,Florida,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
United States of America,Georgia,,,,,,,,,,,,None,
United States of America,Washington DC,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,
Other Europe,,,,,,,,,,,,,,
United States of America,California,Java,,,PHP,Python,,SQL,,,C,,,
United Kingdom,,Java,JavaScript,CSS,PHP,,,,,C++,,,,XSLT
Other Europe,,,,,,,,,,,,,,
United States of America,Washington,,JavaScript,CSS,PHP,,,,,,,,,"If CSS is a language, surely so is HTML?"
Canada,,Java,JavaScript,CSS,,,Ruby,SQL,,C++,C,Perl,,
United States of America,Virginia,,,,,,,,,,,,,
United States of America,Illinois,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Utah,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,,,
Australasia,,,,,,Python,,,,C++,C,,,
United Kingdom,,,JavaScript,,,,,,,C++,C,Perl,,
United States of America,New Jersey,Java,JavaScript,CSS,PHP,Python,,,,C++,C,,,
North America (Other),,Java,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Arizona,,,CSS,PHP,,,SQL,,C++,,,,jQuery
United States of America,Michigan,Java,JavaScript,CSS,,,,SQL,,,,,,
South America,,,,,,,,,,,,,,
Germany,,,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,,,ActionScript
United Kingdom,,,JavaScript,CSS,PHP,,,,,,,,,
Other Europe,,Java,JavaScript,,,,Ruby,,C#,,,,,
United States of America,Arkansas,,JavaScript,,PHP,,,SQL,C#,,,,,
Canada,,,,CSS,PHP,,,SQL,,,,,,ASP
Netherlands,,Java,,,,Python,,SQL,C#,C++,C,,,
Africa,,,,,,,,,,,,,,
Germany,,Java,,,PHP,Python,,,,,,,,
Australia,,Java,JavaScript,CSS,PHP,,,,,C++,C,,,
United States of America,Colorado,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,
Germany,,,,,,,Ruby,SQL,C#,,,,,
United States of America,Virginia,Java,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,,,,,,,
Other Europe,,,,,,,,,C#,C++,C,,,
France,,Java,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,,,CSS,PHP,Python,,SQL,C#,,,,,VB.NET
France,,Java,JavaScript,,,,,,,,,,,
Other Europe,,Java,,,PHP,,,SQL,C#,,,,,Delphi
United States of America,Massachusetts,,,,,,,,,,,,None,
India,,,,,,,,,,C++,C,,,
South America,,Java,JavaScript,CSS,,Python,,SQL,,,C,,,Scala and so on
United States of America,New Hampshire,Java,,,PHP,,,SQL,,C++,C,,,
South America,,,JavaScript,,,,,SQL,,C++,C,,,
United States of America,Oregon,Java,,,,,,SQL,C#,,,,,
United Kingdom,,,,,,,,,,,,,,
United Kingdom,,,JavaScript,CSS,PHP,Python,,SQL,,,,,,
United Kingdom,,Java,,,,,,,,,,,,
United States of America,Ohio,Java,JavaScript,CSS,,Python,,SQL,C#,,C,,,
South America,,,JavaScript,,,Python,,SQL,,,C,,,
United States of America,New York,,,,,,,,,,C,,,
Other Europe,,,,CSS,,,,,,C++,C,,,Haskell
Other Europe,,,,,,,,,,,,,,
United States of America,Nevada,,,,,,,SQL,C#,,,,,
United States of America,Ohio,,,,,,,,,,,,,
Netherlands,,Java,JavaScript,CSS,,,,SQL,,,,Perl,,
United States of America,Virginia,,,,,,,,,,,,,
Canada,,Java,JavaScript,CSS,,,Ruby,SQL,C#,,C,,,
United States of America,Virginia,,,CSS,,,,SQL,C#,,,,,VB.Net
United States of America,Ohio,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,
United States of America,New York,,JavaScript,CSS,,Python,,SQL,,,,,,
Germany,,Java,,CSS,PHP,,Ruby,SQL,,C++,C,,,
France,,Java,,,,,,SQL,,,,,,
United States of America,Georgia,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
South America,,Java,JavaScript,CSS,PHP,Python,,SQL,,C++,C,,,scheme
United States of America,Pennsylvania,,JavaScript,CSS,PHP,,,SQL,,,,,,VB/VBScript
Australia,,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,C++,C,Perl,,
Canada,,Java,,,,Python,,,,,,,,Smalltalk
United Kingdom,,,,CSS,,,,SQL,C#,,,,,
Netherlands,,,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,,,
Other Asia,,Java,,,,,,,C#,,,,,
Italy,,,,CSS,PHP,Python,,SQL,,,,,,
United Kingdom,,Java,JavaScript,CSS,,,,SQL,C#,,,,,
France,,,,,,,,,,C++,C,,,Objective-C
United States of America,Indiana,,JavaScript,,,,,SQL,C#,,,,,
United States of America,Massachusetts,Java,,,,,,SQL,,,,Perl,,
United States of America,Wisconsin,,,,,,,SQL,C#,C++,C,,,
South America,,,,,,,,SQL,C#,,,,,"Objective-C, GeneXus"
United States of America,Massachusetts,,,,,,,,,,C,,,Applescript
United States of America,North Carolina,,,,,,,SQL,C#,,,,,vb.net
United Kingdom,,,,,,,,SQL,C#,,,,,
United Kingdom,,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,SQL,,C++,C,,,
Germany,,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,,,SQL,,,,,,
France,,Java,JavaScript,CSS,,Python,,SQL,C#,C++,C,,,
Other Europe,,Java,,CSS,,Python,,,,C++,,,,Haskell
United States of America,New Hampshire,,JavaScript,CSS,,,,SQL,C#,C++,C,,,
Other Europe,,Java,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,
Other Europe,,Java,,,,Python,,,,C++,,,,
South America,,Java,JavaScript,CSS,,,,SQL,,C++,C,Perl,,
Other Europe,,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,
Russia,,,,,,,,,C#,,,,,
Canada,,,,,,Python,,SQL,,,C,Perl,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,,,
Other Europe,,Java,,,,,,SQL,,,C,Perl,,
Netherlands,,,JavaScript,CSS,PHP,Python,,SQL,,,,,,
India,,,JavaScript,CSS,,,,SQL,C#,C++,C,,,"html, xml"
United States of America,California,Java,,,,,,SQL,C#,,,,,
Other Europe,,,JavaScript,CSS,,,,SQL,C#,,,,,
India,,,JavaScript,CSS,,,,,C#,,,,,
Netherlands,,Java,JavaScript,,,,,SQL,C#,,,,,
Russia,,,,,,,,,C#,,,,,
Other Europe,,Java,,,,,,,,C++,C,,,
Russia,,,JavaScript,CSS,PHP,,,SQL,,,,Perl,,
Other Europe,,Java,,,,,Ruby,,,,,,,objective c
Mexico,,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,C,,,bash
Other Europe,,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Asia,,Java,,,PHP,Python,,,,,,,,
Australia,,Java,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,
Other Asia,,,,,,,,,C#,,,,,
Other Europe,,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,
Russia,,,JavaScript,CSS,,,,,C#,,,,,
Australia,,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,
Netherlands,,Java,JavaScript,CSS,,,,SQL,C#,,,,,
India,,Java,,,,,,,C#,C++,C,,,
Australia,,,,,,Python,,SQL,C#,C++,C,,,Lua
Australia,,,,,,,,,,,,,,
Other Europe,,,JavaScript,CSS,,,,SQL,C#,C++,C,,,
United States of America,Virginia,Java,JavaScript,CSS,,Python,,,,C++,C,,,
United Kingdom,,Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,
Australia,,,,,PHP,,,,,,,,,
Germany,,,,,,,,,C#,C++,,,,
United States of America,Pennsylvania,Java,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,
Africa,,Java,,,,,,SQL,,,,,,
Germany,,Java,JavaScript,CSS,,,,,,C++,C,,,"Lisp, Clojure"
United States of America,Texas,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
United States of America,Texas,Java,JavaScript,,PHP,Python,,SQL,C#,,C,Perl,,Erlang
Australia,,Java,,,,Python,,,,C++,C,,,
Other Europe,,,,,,,,,,,,,,
United States of America,Oregon,,JavaScript,CSS,PHP,,,SQL,C#,,C,,,Objective-C
Canada,,,,,,,,,,,,,,
Canada,,Java,JavaScript,CSS,,,,SQL,,C++,C,,,RPG
India,,,,,,,,,C#,,,,,foxpro
Canada,,Java,,,,,,,,C++,C,Perl,,Objective-C
Australia,,,,,PHP,,Ruby,SQL,C#,C++,,,,Delphi
United States of America,Illinois,,,,,Python,,,C#,,C,,,ActionScript
United States of America,Minnesota,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Oklahoma,Java,JavaScript,CSS,PHP,Python,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,"vb.net, bash scripting"
United States of America,Wisconsin,Java,,,,,,,,,,Perl,,
Russia,,,JavaScript,CSS,PHP,,,SQL,,C++,C,,,Lua
Canada,,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Minnesota,,,,,,,SQL,C#,C++,C,,,
United States of America,California,Java,,,,,,,,,,,,Objective-C
United States of America,North Carolina,,,,,,,,C#,,,,,
Other Asia,,Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,
Australia,,,JavaScript,CSS,PHP,,,,,C++,C,Perl,,
United States of America,Washington,Java,,CSS,,,,SQL,,,,,,
United States of America,Texas,,JavaScript,CSS,,,,SQL,C#,,,,,VB.NET
Other Europe,,,,,,,,SQL,C#,,,,,Delphi
United States of America,South Carolina,,JavaScript,,,,,SQL,,C++,,,,
United States of America,Michigan,Java,JavaScript,CSS,PHP,,,SQL,,,C,,,
United States of America,California,,,,,,,SQL,C#,,,,,
United Kingdom,,,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,
United States of America,California,,JavaScript,CSS,PHP,,,,,,,,,Lua
South America,,Java,JavaScript,CSS,,Python,,SQL,,,C,Perl,,
Other Asia,,Java,,,,,,,C#,,,,,
Other Asia,,,,,,Python,,,C#,C++,,,,
United States of America,Illinois,,,CSS,,,Ruby,,,,,,,"VB, Objective C"
Australia,,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,,Perl,,sh
Other Europe,,Java,JavaScript,CSS,,,,SQL,,,,,,
Other Asia,,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,Perl,,
Other Asia,,Java,,,,,,,,,,,,
Germany,,,JavaScript,CSS,PHP,,,,,,,,,
Canada,,,JavaScript,CSS,PHP,,,,,,,,,
North America (Other),,,,,,,,SQL,C#,,,,,
United States of America,New Jersey,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,,,,
United States of America,California,Java,JavaScript,,,,,,,C++,C,Perl,,
United States of America,Massachusetts,Java,,,,,,,C#,,,Perl,,progress abl
India,,,JavaScript,CSS,,,,,C#,,,,,
United States of America,Wisconsin,,,,,,,SQL,C#,C++,,,,
Other Europe,,Java,JavaScript,,,,Ruby,SQL,,,,,,
Other Europe,,,,,,,,,,,,Perl,,
Other Europe,,,JavaScript,CSS,,,,SQL,C#,,,,,
Netherlands,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
United States of America,California,Java,JavaScript,CSS,,Python,,SQL,,,,,,Objective-C
South America,,Java,JavaScript,CSS,PHP,,,SQL,,,C,,,
Canada,,Java,,,,,,SQL,,,,Perl,,
United States of America,Florida,,,CSS,,,,SQL,C#,,,,,Objective c
United States of America,Utah,,JavaScript,CSS,,,Ruby,SQL,C#,,,,,
Other Europe,,,,,PHP,,,,,,,,,
South America,,,JavaScript,CSS,PHP,,,,,,,Perl,,
United States of America,Texas,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,C++,,,,ColdFusion
United States of America,New Jersey,Java,JavaScript,CSS,,Python,,,,C++,C,,,matlab
United States of America,Massachusetts,Java,JavaScript,,,,Ruby,SQL,C#,C++,C,,,
Germany,,Java,,CSS,,,,SQL,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
United States of America,Indiana,,,,,,,,,,,,,
United Kingdom,,Java,,,,,,,,,,,,
United States of America,California,,,,,,,,C#,,,,,
United States of America,Texas,,,CSS,,,,SQL,C#,,,,,
France,,,,CSS,PHP,,Ruby,,,,,,,Objective-C
United Kingdom,,,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,
United Kingdom,,,JavaScript,CSS,,,,SQL,C#,,,,,
Australia,,,JavaScript,CSS,,,,,C#,,,,,HTML
United States of America,Massachusetts,Java,,,,,,,,C++,C,,,
South America,,,JavaScript,,PHP,,,SQL,C#,,,,,
Australia,,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
Germany,,Java,,CSS,PHP,,,SQL,,,,,,Scala
Australia,,Java,,,,,,SQL,C#,C++,C,,,
Australia,,,,CSS,,,,SQL,C#,,,,,
United Kingdom,,,,,,,,,,,,,,
United Kingdom,,Java,JavaScript,,PHP,,Ruby,SQL,C#,C++,C,,,
Germany,,Java,,,PHP,Python,Ruby,,,,C,,,
Other Europe,,,,CSS,,,,SQL,C#,,,,,
United States of America,Pennsylvania,,JavaScript,CSS,PHP,,,SQL,,,,,,Objective-C
Germany,,,,,,,,,C#,,,Perl,,
Australia,,,,,,,,,C#,,,,,
United States of America,Massachusetts,,JavaScript,CSS,,Python,,SQL,,C++,C,,,
United Kingdom,,,JavaScript,CSS,,,,SQL,C#,,,,,asp.net
United Kingdom,,,,,,,,,,,,,,
United States of America,Oklahoma,,,,,,,,,,,,,WebFOCUS
United States of America,Virginia,,,,,,,SQL,,C++,,,,"COBOL, shell, awk"
United States of America,Tennessee,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,,JavaScript,CSS,,Python,,SQL,C#,,,,,
Mexico,,Java,JavaScript,CSS,PHP,,,,,C++,C,,,
United Kingdom,,,,,,Python,,SQL,C#,,C,,,Delphi
United States of America,Massachusetts,,,CSS,PHP,,,SQL,C#,,,,,
United States of America,Iowa,Java,JavaScript,CSS,PHP,Python,,SQL,C#,C++,C,,,
Australia,,Java,JavaScript,CSS,,,,SQL,C#,C++,C,,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,Perl,,
Other Europe,,Java,,CSS,,,Ruby,,C#,C++,,,,
Australia,,Java,JavaScript,CSS,,,,SQL,C#,,,Perl,,
Other Europe,,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Utah,Java,JavaScript,,,,,,C#,C++,C,,,
United States of America,California,,,,,,,SQL,C#,,,Perl,,
United States of America,New York,Java,,CSS,PHP,,,,C#,,,,,
Germany,,Java,,,,,,,C#,C++,C,,,Haskell
Other Europe,,Java,,CSS,,,,SQL,,C++,C,Perl,,
United States of America,Florida,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,,,,,,,,C#,C++,C,,,
Other Europe,,Java,JavaScript,CSS,PHP,,,SQL,,,,,,
Other Europe,,,,,,Python,,SQL,C#,,,,,
Australia,,Java,,,,,Ruby,,,C++,C,,,
United Kingdom,,,,,,,,,,,,,None,
Netherlands,,Java,,CSS,PHP,Python,,SQL,,,,,,
Other Europe,,,,,,Python,,,C#,,,,,
Central America,,,JavaScript,CSS,,,,,,,,,,ActionScript
Canada,,Java,JavaScript,CSS,PHP,,Ruby,SQL,C#,,,Perl,,
North America (Other),,,,,,,,,,,,,,
United States of America,Florida,,JavaScript,CSS,PHP,,Ruby,,,,,,,Objective-C (OSX)
United States of America,Washington,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,C,,,
United Kingdom,,Java,JavaScript,CSS,,,,,C#,,,,,
United Kingdom,,Java,JavaScript,CSS,,Python,Ruby,,,,,,,"Scala, Haskell, more"
South America,,,,,,,,,,,,,,objective-c
Other Europe,,Java,JavaScript,CSS,,,,,,,,,,
South America,,,JavaScript,,PHP,,,SQL,C#,,,,,
United Kingdom,,,JavaScript,,PHP,,,SQL,,,C,,,
Australia,,Java,JavaScript,,PHP,,,SQL,,,,,,coldfusion
Australia,,,JavaScript,CSS,,,,SQL,C#,,,,,
Other Europe,,,,,,Python,,,,,,Perl,,
Australia,,,JavaScript,,,,,,C#,,,,,
United States of America,Texas,,JavaScript,CSS,PHP,Python,,SQL,,,,Perl,,
United States of America,Ohio,,JavaScript,CSS,PHP,,Ruby,SQL,,C++,,,,
United States of America,Massachusetts,Java,,,,,,,,C++,,,,
United Kingdom,,Java,,,,,,SQL,C#,C++,C,,,"F#, VB, Delphi"
South America,,,,,,,,SQL,C#,,,,,
United States of America,California,,,,,,,,,,,Perl,,shell
United Kingdom,,Java,JavaScript,CSS,,,,,C#,C++,C,,,
Middle East,,,JavaScript,CSS,,,Ruby,,,,C,,,
United States of America,New York,Java,JavaScript,CSS,,,,,C#,,,,,
United States of America,North Carolina,Java,JavaScript,CSS,,,,SQL,C#,,,,,"ActionScript3, VB.Net"
United States of America,Washington,,JavaScript,,,,Ruby,SQL,C#,,,,,
United States of America,Maryland,,JavaScript,CSS,,,,SQL,C#,,,,,VB
United States of America,New York,,JavaScript,CSS,,,Ruby,SQL,C#,C++,,Perl,,
France,,Java,JavaScript,CSS,,,,,,,,,,
Other Europe,,Java,JavaScript,CSS,,,Ruby,SQL,,,,,,
Germany,,,,,,,,,,,,,,Objective-C
United States of America,California,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,
Australasia,,,,,,,,,C#,,,,,delphi
United States of America,New York,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,
Canada,,Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,
Other Europe,,Java,,,,,,,C#,,,,,
United States of America,Ohio,,,,,,,,,,,,None,
United States of America,Oregon,,JavaScript,CSS,PHP,,,,,,,,,
Other Europe,,,JavaScript,CSS,PHP,,,SQL,,,C,Perl,,
Germany,,,,,,,,,,,,,,
United States of America,New York,,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,
United Kingdom,,Java,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Wisconsin,,JavaScript,CSS,,,,SQL,,,,,,VB.net
Other Europe,,Java,,,,Python,,,,C++,C,,,
United States of America,Arizona,,,,,,,SQL,C#,,,,,VB.Net
Middle East,,,JavaScript,CSS,,,,SQL,C#,,,,,
United Kingdom,,,,,,,,,C#,C++,C,,,vb6 vb.net
United States of America,Oregon,,JavaScript,CSS,PHP,,Ruby,SQL,,,C,,,
Australia,,Java,JavaScript,CSS,,,,SQL,,,,,,Scala
United States of America,Florida,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
United States of America,California,,,,,,,SQL,C#,,,Perl,,"""Proficient"" seems too rosey a word for it."
Canada,,Java,,CSS,PHP,,Ruby,SQL,,,,,,
United States of America,California,,JavaScript,CSS,,,,SQL,C#,,,,,
United States of America,Florida,,JavaScript,CSS,PHP,Python,,SQL,C#,C++,,,,
United States of America,Ohio,,,,,,,,C#,,,,,
Other Europe,,Java,JavaScript,CSS,PHP,Python,,,,,,,,
Mexico,,Java,JavaScript,,,,,SQL,C#,C++,C,,,VB
United States of America,Washington DC,,JavaScript,CSS,PHP,,,SQL,C#,,,,,
Africa,,,JavaScript,,PHP,,,SQL,C#,,,,,
United States of America,California,,,,PHP,Python,Ruby,SQL,,,,,,
