Country,Current Lang & Tech: Android,Current Lang & Tech: Arduino,Current Lang & Tech: AngularJS,Current Lang & Tech: C,Current Lang & Tech: C++,Current Lang & Tech: C++11,Current Lang & Tech: C#,Current Lang & Tech: Cassandra,Current Lang & Tech: CoffeeScript,Current Lang & Tech: Cordova,Current Lang & Tech: Clojure,Current Lang & Tech: Cloud,Current Lang & Tech: Dart,Current Lang & Tech: F#,Current Lang & Tech: Go,Current Lang & Tech: Hadoop,Current Lang & Tech: Haskell,Current Lang & Tech: iOS,Current Lang & Tech: Java,Current Lang & Tech: JavaScript,Current Lang & Tech: LAMP,Current Lang & Tech: Matlab,Current Lang & Tech: MongoDB,Current Lang & Tech: Node.js,Current Lang & Tech: Objective-C,Current Lang & Tech: Perl,Current Lang & Tech: PHP,Current Lang & Tech: Python,Current Lang & Tech: R,Current Lang & Tech: Redis,Current Lang & Tech: Ruby,Current Lang & Tech: Rust,Current Lang & Tech: Salesforce,Current Lang & Tech: Scala,Current Lang & Tech: Sharepoint,Current Lang & Tech: Spark,Current Lang & Tech: SQL,Current Lang & Tech: SQL Server,Current Lang & Tech: Swift,Current Lang & Tech: Visual Basic,Current Lang & Tech: Windows Phone,Current Lang & Tech: Wordpress,Current Lang & Tech: Write-In
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,vb.net
Canada,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Canada,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
China,,,,,,,C#,,CoffeeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharepoint,,,SQL Server,,,,,
Denmark,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,Clojure,,,,,,,,,JavaScript,,,MongoDB,,,,PHP,,,,,,Salesforce,,,,SQL,,,,,,ClojureScript
Denmark,,,AngularJS,,,,C#,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
Finland,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,"groovy/grails, drools"
France,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,Python,,Redis,,,,,,,SQL,SQL Server,,,,,
France,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
France,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,,Symfony2
Germany,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,,,,Windows Phone,,
Germany,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,
Germany,Android,Arduino / Raspberry Pi,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,,Python,R,,,,,,,,,,,,,,
Germany,,,,,C++,,C#,,,,,,,,,,,iOS,Java,,,,MongoDB,,Objective-C,,,Python,,,,,,,,,SQL,,Swift,,,,
Germany,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,Java EE
Germany,Android,,,,,,,,,,,,,,,,,,Java,,,,MongoDB,,,,,,,,,,,,,,SQL,,,,,,
Germany,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,SQL,,,,,,
Germany,,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,yii
India,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,Python,,,,,,,,,SQL,,,,,,
India,,,AngularJS,C,C++,,,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
India,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,C,C++,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,Wordpress,
India,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,"ASP .Net MVC, WCF"
India,Android,,,,,,,,,Cordova,,,,,,,,iOS,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,
India,,,,C,C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,
India,Android,,,,,,,,,,,,,,,,,iOS,,,,,,,,,,Python,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Italy,Android,,,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,SQL,SQL Server,,,,,
Italy,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Italy,,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,MongoDB,,,,,,,,,,,,,,SQL,,,,,,
Latvia,,,,,,,,,,,,,,,,,,iOS,,JavaScript,LAMP,,MongoDB,,Objective-C,,PHP,Python,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Mexico,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,SQL Server,,,,,
Mexico,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Mexico,,,AngularJS,,,,C#,,,,,,,,Go,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,,,Redis,,,,,,,SQL,SQL Server,,Visual Basic,Windows Phone,,
Netherlands,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Javascript
Netherlands,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Netherlands,,,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
New Zealand,Android,,,C,C++,,,,,,,,,,,,,,Java,,,,MongoDB,,,Perl,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Norway,,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,Node.js,,,,,,,,,,Scala,,,SQL,,,,,,
Norway,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Norway,,,AngularJS,,,,C#,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,Groovy
Poland,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,Scala,,,,,,,,,"Groovy, AEM, CQ"
Poland,Android,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,LAMP,,,,,,PHP,Python,,,,,,,,,,,,,,Wordpress,
Portugal,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,Python,,,,,,,,,,,,,,,
Russian Federation,,,,,,,C#,,,Cordova,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,Redis,,,,,,,,SQL Server,,,,,
Spain,Android,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Spain,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Spain,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,,,,C++11,,,,,,,,,,,,,,JavaScript,,,,Node.js,,Perl,PHP,,,,,,,,,,SQL,,,,,,
Sweden,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,,C,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,,,,,Windows Phone,Wordpress,
Sweden,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,,,,,,,,,,,,,
Sweden,,,,,,,C#,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,,Python,,,,,,,,,SQL,SQL Server,,,,,
Sweden,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
Sweden,Android,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
Turkey,,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Android,,,,,,,,,,,,,,Go,,,,Java,,,,,,,,,,,,,,,Scala,,Spark,,,,,,,
United Kingdom,Android,Arduino / Raspberry Pi,AngularJS,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,,,,,,,,,Sharepoint,,,SQL Server,,,,,
United Kingdom,,,AngularJS,,,,C#,,,,,,,,Go,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,Objective-C,,PHP,,,,Ruby,,,,,,SQL,,,,,,
United Kingdom,,,,,,,C#,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,,,,EmberJS
United Kingdom,,,,,C++,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,Go,,,iOS,,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,,,Python,,,Ruby,,,,,,SQL,,,,,,XQuery
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
United States,,,AngularJS,,,,C#,Cassandra,,,,,,,,,,,,JavaScript,,,,Node.js,,,,,,,,,,,,,SQL,,,,,,
United States,Android,Arduino / Raspberry Pi,,,,,C#,,,Cordova,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,LAMP,,MongoDB,Node.js,Objective-C,,PHP,,,Redis,,,,,,,SQL,,,,,Wordpress,
United States,,,AngularJS,,C++,,C#,,,,,,,,,,,,Java,JavaScript,LAMP,,MongoDB,,,,,,,,Ruby,,,,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,SQL,,,,,,
United States,Android,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,Arduino / Raspberry Pi,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,Hadoop,,,Java,JavaScript,LAMP,,,,,,PHP,,,Redis,,,,,,,,,,,,Wordpress,
United States,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,Node.js,,,PHP,,,,Ruby,,,,,,SQL,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,Scala,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
United States,,,,,,C++11,,,,,,,,,,,,,,,,Matlab,,,,,,,,,,,Salesforce,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Brazil,,,,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,Python,,,,,,,,,,,,,,,
Brazil,,,AngularJS,,,,C#,,,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,
Brazil,,,,,,,,,,,,,,,Go,,,iOS,,,,,,,Objective-C,,PHP,Python,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,,,,,,,
Denmark,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,C++,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,TypeScript
France,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
France,Android,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Germany,,,AngularJS,,,,,,,,,,,,,,,,Java,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
Germany,,,,,,,C#,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,SQL Server,,Visual Basic,,,Powershell
Hungary,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,,,,,,asp.net mvc
India,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
India,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
India,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Indonesia,Android,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,Node.js,,,PHP,,,,,,,Scala,,,SQL,SQL Server,,,,,
Lithuania,,,AngularJS,,,,,Cassandra,CoffeeScript,,,,,,Go,,,,,JavaScript,,,MongoDB,Node.js,,,PHP,Python,,Redis,Ruby,,,,,,SQL,,,,,,
"Myanmar, {Burma}",Android,,AngularJS,,,,,,CoffeeScript,,,,,,,,,,Java,JavaScript,,,MongoDB,Node.js,,,,Python,,,,,,,,,,,,,,,
Netherlands,Android,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,,,,,,,,,,,Scala,,,,,,,,,
Norway,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,Visual Basic,,,
Poland,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Poland,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
Russian Federation,,,,,,,,,CoffeeScript,,,,,,,,,,Java,JavaScript,,,,,,,,Python,R,Redis,Ruby,,,,,,SQL,,,,,,
Russian Federation,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United Arab Emirates,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL Server,,,,,
United Kingdom,,Arduino / Raspberry Pi,,,,,,,,,,,Dart,,,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
United Kingdom,,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,SQL Server,,,,,Delphi
United Kingdom,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United Kingdom,,,,,,,C#,,,,,,,F#,,,,,,,,,,,,,,,,,Ruby,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,Android,Arduino / Raspberry Pi,,C,,,,,,,,,,,,,,iOS,Java,JavaScript,,,MongoDB,Node.js,Objective-C,,,,,,Ruby,,,,,,SQL,,,,,,
United States,Android,,AngularJS,,,,,,,,,,,,,Hadoop,,,Java,,,,,,,,,,,,Ruby,,,,,Spark,,,,,,,
United States,,,,,,,,Cassandra,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,,,,,,,,,,,Redis,Ruby,,,Scala,,,SQL,,,,,,
United States,,,,,,,,,,,,,,,,,,,,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
United States,,,,,,,C#,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,,,,SQL,SQL Server,,,,,
United States,,Arduino / Raspberry Pi,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,PHP,,,,Ruby,,,,,,,SQL Server,,,,,
United States,,,,,,,,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,Ruby,,,,,,SQL,,Swift,,,,Rails
Uruguay,,,AngularJS,,,,C#,,,,,,,,,,,,,JavaScript,,,MongoDB,Node.js,,,,,,,,,,,,,SQL,SQL Server,,,,,
Belgium,Android,,,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,,Java,JavaScript,,,,,,,,,,,Ruby,,,,,,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Android,,,,,,C#,,,,,,,,,,,,Java,,,,,,,,,Python,,,,,,,,,SQL,,,Visual Basic,,,
Singapore,Android,,,,,,,,,,,,,,,,,iOS,Java,JavaScript,LAMP,,MongoDB,Node.js,,,PHP,,,,,,,,,,SQL,,,,,Wordpress,
Turkey,,,,,,,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,,,,C,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,,,AngularJS,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,SQL,,,,,,
United States,,,,C,,,,,,,,,,,,,,,Java,,,,,,,Perl,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,Go,Hadoop,,,Java,,,,,,,,,,,,Ruby,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,C++,,C#,,,,,,,,,,,iOS,,,,,,,Objective-C,,,,,,,,,,,,SQL,,,,,,
N/A,,,,,C++,C++11,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,Python,,,,,,,,,SQL,,,Visual Basic,,,
Argentina,Android,,AngularJS,,,,,,,,,"Cloud (AWS, GAE, Azure, etc.)",,,,,,iOS,Java,JavaScript,LAMP,,,,,,,Python,,,,,,,,,SQL,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Australia,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,Java,JavaScript,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,,,,,,,,,,SQL,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,Wordpress,
Croatia,Android,,,,,,,,,,,,,,,,,,,JavaScript,,,,,,,PHP,,,,,,,,,,,,,,,,
Germany,,,,C,C++,C++11,,,,,,,,,Go,,,,,JavaScript,,,,,,,,Python,,,,,,,,,SQL,,,,,,
Germany,,,,,C++,,,,,,,,,,,,,,,,,,,,,,,Python,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,LAMP,,,,,,PHP,Python,,,,,,,,,SQL,,,,,Wordpress,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,PHP,,,,,,,,,,SQL,,,,,,
